[ 2025-04-13 15:18:09,727 ] 28 __main__ - INFO - Entered the data ingestion method or component
[ 2025-04-13 15:18:10,016 ] 32 __main__ - INFO - Read the dataset as dataframe
[ 2025-04-13 15:18:10,840 ] 41 __main__ - INFO - Data ingestion completed successfully.
[ 2025-04-13 15:18:10,840 ] 26 src.components.data_transformation - INFO - Reading input CSV files
[ 2025-04-13 15:18:11,125 ] 30 src.components.data_transformation - INFO - Starting data transformation process
[ 2025-04-13 15:18:12,636 ] 100 src.components.data_transformation - INFO - Data transformation completed successfully
[ 2025-04-13 15:18:12,640 ] 101 src.components.data_transformation - INFO - X_train shape: (83839, 79), X_test shape: (20960, 79)
[ 2025-04-13 15:18:12,640 ] 29 src.components.model_trainer - INFO - Starting model training process...
[ 2025-04-13 15:18:12,640 ] 49 src.components.model_trainer - INFO - Voting classifier created.
[ 2025-04-13 15:18:12,640 ] 62 src.components.model_trainer - INFO - Starting grid search for hyperparameter tuning...
[ 2025-04-13 15:18:17,105 ] 84 src.components.model_trainer - ERROR - Exception occurred during model training.
